Cmdline: /system/bin/simpleperf record -f 1000 -g -p 17534 --duration 10
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 4961
Event count: 11049081886

Overhead  Command          Pid    Tid    Shared Object                                                                  Symbol
0.05%     Debugger         17534  17534  /apex/com.android.vndk.v31/lib64/libhidlbase.so                                android::hardware::hidl_string::copyFrom(char const*, unsigned long)
0.05%     Debugger         17534  17534  /apex/com.android.runtime/lib64/bionic/libc.so                                 scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::deallocate(void*, scudo::Chunk::Origin, unsigned long, unsigned long)
0.05%     Debugger         17534  17534  [kernel.kallsyms]                                                              ksu_sys_enter_handler.9dd1a0289b3e014715f75289f4b11fa1
0.05%     Debugger         17534  17534  /data/local/tmp/Debugger                                                       ImGui::IsItemActive()
0.05%     Debugger         17534  17534  [kernel.kallsyms]                                                              ioctl_has_perm
0.05%     Debugger         17534  17534  /apex/com.android.runtime/lib64/bionic/libc.so                                 malloc
0.05%     Debugger         17534  17534  /system/lib64/libvulkan.so                                                     vulkan::driver::QueuePresentKHR(VkQueue_T*, VkPresentInfoKHR const*)
0.05%     GPU completion   17534  17547  /apex/com.android.runtime/lib64/bionic/libc.so                                 __vfprintf
0.05%     GPU completion   17534  17547  [kernel.kallsyms]                                                              do_sys_poll
0.05%     Debugger         17534  17534  [kernel.kallsyms]                                                              __pi_memset
0.05%     Debugger         17534  17543  /data/local/tmp/Debugger                                                       volume()
0.05%     Debugger         17534  17534  [kernel.kallsyms]                                                              security_d_instantiate
0.05%     Debugger         17534  17534  [kernel.kallsyms]                                                              dentry_unlink_inode
0.05%     Debugger         17534  17534  /system/lib64/libgui.so                                                        android::TransactionCompletedListener::setReleaseBufferCallback(android::ReleaseCallbackId const&, std::__1::function<void (android::ReleaseCallbackId const&, android::sp<android::Fence> const&, std::__1::optional<unsigned int>)>)
0.05%     Debugger         17534  17534  /vendor/lib64/egl/mt6895/libGLES_mali.so                                       libGLES_mali.so[+1755048]
0.05%     Debugger         17534  17534  /data/local/tmp/Debugger                                                       CalcNextScrollFromScrollTargetAndClamp(ImGuiWindow*)
0.05%     Debugger         17534  17534  [kernel.kallsyms]                                                              binder_proc_transaction
0.05%     Debugger         17534  17534  /vendor/lib64/egl/mt6895/libGLES_mali.so                                       libGLES_mali.so[+16653a0]
0.05%     Debugger         17534  17534  [kernel.kallsyms]                                                              kfree
0.05%     Debugger         17534  17534  /system/lib64/libc++.so                                                        std::__1::__shared_mutex_base::lock_shared()
0.05%     Debugger         17534  17534  /data/local/tmp/Debugger                                                       game_fps_monitor::PushDeltaTimeSample(double)
0.05%     Debugger         17534  17534  /data/local/tmp/Debugger                                                       ImDrawList::PushClipRect(ImVec2 const&, ImVec2 const&, bool)
0.05%     Debugger         17534  17534  /system/lib64/libbinder.so                                                     @plt
0.05%     Debugger         17534  17534  /apex/com.android.runtime/lib64/bionic/libc.so                                 __dtoa
0.05%     Debugger         17534  17534  /data/local/tmp/Debugger                                                       ImGui::EndFrame()
0.04%     GPU completion   17534  17547  /system/lib64/libgui.so                                                        android::gui::FenceMonitor::threadLoop()
0.04%     Debugger         17534  17534  [kernel.kallsyms]                                                              __list_del_entry_valid
0.04%     Debugger         17534  17534  /vendor/lib/modules/ged.ko                                                     ged_ge_get
0.04%     Debugger         17534  17534  [kernel.kallsyms]                                                              idr_find
0.04%     Debugger         17534  17534  [kernel.kallsyms]                                                              handle_mm_fault
0.04%     Debugger         17534  17534  [kernel.kallsyms]                                                              finish_task_switch
0.04%     Debugger         17534  17534  /vendor/lib64/egl/mt6895/libGLES_mali.so                                       libGLES_mali.so[+1761fb4]
0.04%     Debugger         17534  17534  [kernel.kallsyms]                                                              kprobe_optinsn_page [__builtin__kprobes]
0.04%     Debugger         17534  17534  /system/lib64/libgui.so                                                        android::BLASTBufferQueue::onFrameAvailable(android::BufferItem const&)
0.04%     Debugger         17534  17534  /system/lib64/libgui.so                                                        android::IGraphicBufferProducer::QueueBufferInput::QueueBufferInput()
0.04%     Debugger         17534  17534  [kernel.kallsyms]                                                              binder_do_deferred_txn_copies
0.04%     Debugger         17534  17534  /data/local/tmp/Debugger                                                       BatchBoneVisibilityCheck(Vec3 const&, Vec3 const*, bool const*, bool*, int)
0.04%     Debugger         17534  17534  /system_ext/lib64/libmigui.so                                                  @plt
0.04%     Debugger         17534  17534  /data/local/tmp/Debugger                                                       ImGuiStorage::GetVoidPtrRef(unsigned int, void*)
0.04%     binder:17534_1   17534  17545  /system/lib64/libui.so                                                         @plt
0.04%     Debugger         17534  17534  /vendor/lib/modules/mali_kbase_mt6895.ko                                       kbase_csf_kcpu_queue_enqueue
0.04%     Debugger         17534  17534  [kernel.kallsyms]                                                              locks_remove_file
0.04%     Debugger         17534  17534  /data/local/tmp/Debugger                                                       ReadCameraWorldPosForPhysX()
0.04%     Debugger         17534  17534  [kernel.kallsyms]                                                              find_next_zero_bit
0.04%     Debugger         17534  17534  /system/lib64/libbinder.so                                                     android::Parcel::writeInterfaceToken(char16_t const*, unsigned long)
0.04%     Debugger         17534  17543  [kernel.kallsyms]                                                              __fsnotify_parent
0.04%     binder:17534_3   17534  17555  /system/lib64/libgui.so                                                        android::TransactionCompletedListener::onTransactionCompleted(android::ListenerStats)
0.04%     Debugger         17534  17534  /apex/com.android.runtime/lib64/bionic/libc.so                                 __close
0.04%     Debugger         17534  17534  [kernel.kallsyms]                                                              selinux_file_alloc_security.87bbe6f7b7afb66eaa6d1c629edc3068
0.04%     binder:17534_3   17534  17555  /apex/com.android.runtime/lib64/bionic/libc.so                                 free
0.04%     Debugger         17534  17534  [kernel.kallsyms]                                                              dput
0.04%     Debugger         17534  17534  /system/lib64/libvulkan.so                                                     @plt
0.04%     Debugger         17534  17534  [kernel.kallsyms]                                                              __arm64_sys_ioctl
0.04%     Debugger         17534  17534  /data/local/tmp/Debugger                                                       std::__ndk1::chrono::steady_clock::now()
0.04%     Debugger         17534  17534  /data/local/tmp/Debugger                                                       main
0.04%     Debugger         17534  17534  /apex/com.android.runtime/lib64/bionic/libc.so                                 scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::quarantineOrDeallocateChunk(scudo::Options const&, void*, scudo::Chunk::UnpackedHeader*, unsigned long)
0.04%     Debugger         17534  17534  [kernel.kallsyms]                                                              binder_inc_ref_for_node
0.04%     Debugger         17534  17534  /data/local/tmp/Debugger                                                       ImGui::UpdateInputEvents(bool)
0.04%     Debugger         17534  17534  [kernel.kallsyms]                                                              do_eventfd
0.04%     Debugger         17534  17534  /system/lib64/libui.so                                                         android::Fence::dup() const
0.04%     Debugger         17534  17534  /data/local/tmp/Debugger                                                       ImGuiLayer::submitAndPresent(VulkanApp&)
0.04%     Debugger         17534  17534  [kernel.kallsyms]                                                              get_task_mm
0.04%     binder:17534_6   17534  18147  [kernel.kallsyms]                                                              __alloc_fd
0.04%     Debugger         17534  17534  /system/lib64/libgui.so                                                        fbcInit()
0.04%     Debugger         17534  17534  /vendor/lib64/egl/mt6895/libGLES_mali.so                                       libGLES_mali.so[+1754a80]
0.04%     Debugger         17534  17534  [kernel.kallsyms]                                                              mutex_lock
0.04%     Debugger         17534  17534  /vendor/lib64/egl/mt6895/libGLES_mali.so                                       libGLES_mali.so[+1663a00]
0.04%     Debugger         17534  17543  [kernel.kallsyms]                                                              remove_wait_queue
0.04%     Debugger         17534  17543  [kernel.kallsyms]                                                              __arch_copy_to_user
0.04%     Debugger         17534  17534  /data/local/tmp/Debugger                                                       ImDrawList::AddPolyline(ImVec2 const*, int, unsigned int, int, float)
0.04%     Debugger         17534  17534  [kernel.kallsyms]                                                              do_vfs_ioctl
0.04%     Debugger         17534  17534  /vendor/lib64/egl/mt6895/libGLES_mali.so                                       libGLES_mali.so[+69b31c]
0.04%     binder:17534_6   17534  18147  /system/lib64/libbinder.so                                                     android::Parcel::readUint32(unsigned int*) const
0.04%     binder:17534_6   17534  18147  /system/lib64/libgui.so                                                        android::SurfaceStats::readFromParcel(android::Parcel const*)
0.04%     binder:17534_6   17534  18147  [kernel.kallsyms]                                                              binder_apply_fd_fixups
0.04%     Debugger         17534  17534  [kernel.kallsyms]                                                              proc_reg_unlocked_ioctl.bc7c2a3e70d8726163739fbd131db16e
0.04%     Debugger         17534  17534  /vendor/lib/modules/ged.ko                                                     ged_dispatch
0.04%     Debugger         17534  17534  /apex/com.android.vndk.v31/lib64/libc++.so                                     std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>::__grow_by(unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)
0.04%     Debugger         17534  17534  /system/lib64/libc++.so                                                        @plt
0.04%     Debugger         17534  17534  /system/lib64/libbinder.so                                                     android::IPCThreadState::transact(int, unsigned int, android::Parcel const&, android::Parcel*, unsigned int)
0.04%     Debugger         17534  17534  [kernel.kallsyms]                                                              selinux_binder_transfer_binder.87bbe6f7b7afb66eaa6d1c629edc3068
0.04%     binder:17534_6   17534  18147  /system/lib64/libbinder.so                                                     android::Vector<android::RefBase::weakref_type*>::do_splat(void*, void const*, unsigned long) const
